# mc delta_mc ip
2.300000000000000000e+01 0.000000000000000000e+00 -1.000000000000000000e+00
2.419999999999999929e+01 0.000000000000000000e+00 -1.000000000000000000e+00
2.540000000000000213e+01 0.000000000000000000e+00 -1.000000000000000000e+00
2.660000000000000142e+01 0.000000000000000000e+00 -1.000000000000000000e+00
2.780000000000000426e+01 0.000000000000000000e+00 -1.000000000000000000e+00
2.900000000000000355e+01 0.000000000000000000e+00 -1.000000000000000000e+00
3.020000000000000639e+01 0.000000000000000000e+00 -1.000000000000000000e+00
3.140000000000000568e+01 0.000000000000000000e+00 -1.000000000000000000e+00
3.260000000000000853e+01 0.000000000000000000e+00 -1.000000000000000000e+00
3.380000000000001137e+01 0.000000000000000000e+00 -1.000000000000000000e+00
3.500000000000000711e+01 0.000000000000000000e+00 -1.000000000000000000e+00
2.300000000000000000e+01 5.000000000000000278e-02 -1.000000000000000000e+00
2.419999999999999929e+01 5.000000000000000278e-02 -1.000000000000000000e+00
2.540000000000000213e+01 5.000000000000000278e-02 -1.000000000000000000e+00
2.660000000000000142e+01 5.000000000000000278e-02 -1.000000000000000000e+00
2.780000000000000426e+01 5.000000000000000278e-02 -1.000000000000000000e+00
2.900000000000000355e+01 5.000000000000000278e-02 -1.000000000000000000e+00
3.020000000000000639e+01 5.000000000000000278e-02 -1.000000000000000000e+00
3.140000000000000568e+01 5.000000000000000278e-02 -1.000000000000000000e+00
3.260000000000000853e+01 5.000000000000000278e-02 -1.000000000000000000e+00
3.380000000000001137e+01 5.000000000000000278e-02 -1.000000000000000000e+00
3.500000000000000711e+01 5.000000000000000278e-02 -1.000000000000000000e+00
2.300000000000000000e+01 1.000000000000000056e-01 -1.000000000000000000e+00
2.419999999999999929e+01 1.000000000000000056e-01 -1.000000000000000000e+00
2.540000000000000213e+01 1.000000000000000056e-01 -1.000000000000000000e+00
2.660000000000000142e+01 1.000000000000000056e-01 -1.000000000000000000e+00
2.780000000000000426e+01 1.000000000000000056e-01 -1.000000000000000000e+00
2.900000000000000355e+01 1.000000000000000056e-01 -1.000000000000000000e+00
3.020000000000000639e+01 1.000000000000000056e-01 -1.000000000000000000e+00
3.140000000000000568e+01 1.000000000000000056e-01 -1.000000000000000000e+00
3.260000000000000853e+01 1.000000000000000056e-01 -1.000000000000000000e+00
3.380000000000001137e+01 1.000000000000000056e-01 -1.000000000000000000e+00
3.500000000000000711e+01 1.000000000000000056e-01 -1.000000000000000000e+00
2.300000000000000000e+01 1.500000000000000222e-01 -1.000000000000000000e+00
2.419999999999999929e+01 1.500000000000000222e-01 -1.000000000000000000e+00
2.540000000000000213e+01 1.500000000000000222e-01 -1.000000000000000000e+00
2.660000000000000142e+01 1.500000000000000222e-01 -1.000000000000000000e+00
2.780000000000000426e+01 1.500000000000000222e-01 -1.000000000000000000e+00
2.900000000000000355e+01 1.500000000000000222e-01 -1.000000000000000000e+00
3.020000000000000639e+01 1.500000000000000222e-01 -1.000000000000000000e+00
3.140000000000000568e+01 1.500000000000000222e-01 -1.000000000000000000e+00
3.260000000000000853e+01 1.500000000000000222e-01 -1.000000000000000000e+00
3.380000000000001137e+01 1.500000000000000222e-01 -1.000000000000000000e+00
3.500000000000000711e+01 1.500000000000000222e-01 -1.000000000000000000e+00
2.300000000000000000e+01 2.000000000000000111e-01 -1.000000000000000000e+00
2.419999999999999929e+01 2.000000000000000111e-01 -1.000000000000000000e+00
2.540000000000000213e+01 2.000000000000000111e-01 -1.000000000000000000e+00
2.660000000000000142e+01 2.000000000000000111e-01 -1.000000000000000000e+00
2.780000000000000426e+01 2.000000000000000111e-01 -1.000000000000000000e+00
2.900000000000000355e+01 2.000000000000000111e-01 -1.000000000000000000e+00
3.020000000000000639e+01 2.000000000000000111e-01 -1.000000000000000000e+00
3.140000000000000568e+01 2.000000000000000111e-01 -1.000000000000000000e+00
3.260000000000000853e+01 2.000000000000000111e-01 -1.000000000000000000e+00
3.380000000000001137e+01 2.000000000000000111e-01 -1.000000000000000000e+00
3.500000000000000711e+01 2.000000000000000111e-01 -1.000000000000000000e+00
2.300000000000000000e+01 2.500000000000000000e-01 -1.000000000000000000e+00
2.419999999999999929e+01 2.500000000000000000e-01 -1.000000000000000000e+00
2.540000000000000213e+01 2.500000000000000000e-01 -1.000000000000000000e+00
2.660000000000000142e+01 2.500000000000000000e-01 -1.000000000000000000e+00
2.780000000000000426e+01 2.500000000000000000e-01 -1.000000000000000000e+00
2.900000000000000355e+01 2.500000000000000000e-01 -1.000000000000000000e+00
3.020000000000000639e+01 2.500000000000000000e-01 -1.000000000000000000e+00
3.140000000000000568e+01 2.500000000000000000e-01 -1.000000000000000000e+00
3.260000000000000853e+01 2.500000000000000000e-01 -1.000000000000000000e+00
3.380000000000001137e+01 2.500000000000000000e-01 -1.000000000000000000e+00
3.500000000000000711e+01 2.500000000000000000e-01 -1.000000000000000000e+00
2.300000000000000000e+01 3.000000000000000444e-01 -1.000000000000000000e+00
2.419999999999999929e+01 3.000000000000000444e-01 -1.000000000000000000e+00
2.540000000000000213e+01 3.000000000000000444e-01 -1.000000000000000000e+00
2.660000000000000142e+01 3.000000000000000444e-01 -1.000000000000000000e+00
2.780000000000000426e+01 3.000000000000000444e-01 -1.000000000000000000e+00
2.900000000000000355e+01 3.000000000000000444e-01 -1.000000000000000000e+00
3.020000000000000639e+01 3.000000000000000444e-01 -1.000000000000000000e+00
3.140000000000000568e+01 3.000000000000000444e-01 -1.000000000000000000e+00
3.260000000000000853e+01 3.000000000000000444e-01 -1.000000000000000000e+00
3.380000000000001137e+01 3.000000000000000444e-01 -1.000000000000000000e+00
3.500000000000000711e+01 3.000000000000000444e-01 -1.000000000000000000e+00
2.300000000000000000e+01 3.500000000000000333e-01 -1.000000000000000000e+00
2.419999999999999929e+01 3.500000000000000333e-01 -1.000000000000000000e+00
2.540000000000000213e+01 3.500000000000000333e-01 -1.000000000000000000e+00
2.660000000000000142e+01 3.500000000000000333e-01 -1.000000000000000000e+00
2.780000000000000426e+01 3.500000000000000333e-01 -1.000000000000000000e+00
2.900000000000000355e+01 3.500000000000000333e-01 -1.000000000000000000e+00
3.020000000000000639e+01 3.500000000000000333e-01 -1.000000000000000000e+00
3.140000000000000568e+01 3.500000000000000333e-01 -1.000000000000000000e+00
3.260000000000000853e+01 3.500000000000000333e-01 -1.000000000000000000e+00
3.380000000000001137e+01 3.500000000000000333e-01 -1.000000000000000000e+00
3.500000000000000711e+01 3.500000000000000333e-01 -1.000000000000000000e+00
2.300000000000000000e+01 4.000000000000000222e-01 -1.000000000000000000e+00
2.419999999999999929e+01 4.000000000000000222e-01 -1.000000000000000000e+00
2.540000000000000213e+01 4.000000000000000222e-01 -1.000000000000000000e+00
2.660000000000000142e+01 4.000000000000000222e-01 -1.000000000000000000e+00
2.780000000000000426e+01 4.000000000000000222e-01 -1.000000000000000000e+00
2.900000000000000355e+01 4.000000000000000222e-01 -1.000000000000000000e+00
3.020000000000000639e+01 4.000000000000000222e-01 -1.000000000000000000e+00
3.140000000000000568e+01 4.000000000000000222e-01 -1.000000000000000000e+00
3.260000000000000853e+01 4.000000000000000222e-01 -1.000000000000000000e+00
3.380000000000001137e+01 4.000000000000000222e-01 -1.000000000000000000e+00
3.500000000000000711e+01 4.000000000000000222e-01 -1.000000000000000000e+00
2.300000000000000000e+01 4.500000000000000111e-01 -1.000000000000000000e+00
2.419999999999999929e+01 4.500000000000000111e-01 -1.000000000000000000e+00
2.540000000000000213e+01 4.500000000000000111e-01 -1.000000000000000000e+00
2.660000000000000142e+01 4.500000000000000111e-01 -1.000000000000000000e+00
2.780000000000000426e+01 4.500000000000000111e-01 -1.000000000000000000e+00
2.900000000000000355e+01 4.500000000000000111e-01 -1.000000000000000000e+00
3.020000000000000639e+01 4.500000000000000111e-01 -1.000000000000000000e+00
3.140000000000000568e+01 4.500000000000000111e-01 -1.000000000000000000e+00
3.260000000000000853e+01 4.500000000000000111e-01 -1.000000000000000000e+00
3.380000000000001137e+01 4.500000000000000111e-01 -1.000000000000000000e+00
3.500000000000000711e+01 4.500000000000000111e-01 -1.000000000000000000e+00
2.300000000000000000e+01 5.000000000000000000e-01 -1.000000000000000000e+00
2.419999999999999929e+01 5.000000000000000000e-01 -1.000000000000000000e+00
2.540000000000000213e+01 5.000000000000000000e-01 -1.000000000000000000e+00
2.660000000000000142e+01 5.000000000000000000e-01 -1.000000000000000000e+00
2.780000000000000426e+01 5.000000000000000000e-01 -1.000000000000000000e+00
2.900000000000000355e+01 5.000000000000000000e-01 -1.000000000000000000e+00
3.020000000000000639e+01 5.000000000000000000e-01 -1.000000000000000000e+00
3.140000000000000568e+01 5.000000000000000000e-01 -1.000000000000000000e+00
3.260000000000000853e+01 5.000000000000000000e-01 -1.000000000000000000e+00
3.380000000000001137e+01 5.000000000000000000e-01 -1.000000000000000000e+00
3.500000000000000711e+01 5.000000000000000000e-01 -1.000000000000000000e+00
